experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,reengagement_rate,payoff_recovery,reengagement_latency,beta_pre,beta_betrayal,beta_repair,beta_recovery_r080,beta_recovery_r100,beta_recovery_r120,beta_recovery_r140,beta_recovery_r160,beta_recovery_r180,beta_recovery_r200
betrayal,alpha_0p3,14212,3750.0,9.375,0.0,33.0,0.3,0.125,0.205,9.197387099985972,9.237886883216936,9.12914984578146,0.2869310437601554,0.13924050632911392,0.8898856245795022,25.0,1.1133520057458621,1.0521942946683343,1.0008760351556225,1.061099510499929,1.0480657161263527,1.0338808027819546,1.0338808027819546,0.9782078361697918,1.0028735900554633,0.9261302883793123
betrayal,alpha_0p3,14213,3812.0,9.53,0.0,23.0,0.05,0.0,0.4925,9.16769439311915,9.065819875805534,9.063230735762918,0.306341653613016,0.08860759493670886,0.9897059352841667,10.0,1.0818726886866017,1.0931736883374383,1.0344354796175452,1.0996873905555486,1.0963677738469628,1.0865090196773153,1.0734929844458998,1.0294032633305978,0.9813646877222827,0.9576117574646918
betrayal,alpha_0p3,14214,3775.0,9.4375,0.0,4.0,0.275,0.05,0.285,8.93736883678684,9.1175350158338,9.129224604200255,0.3300232341602557,0.43037974683544306,0.8527492120092967,0.0,1.0386405828098966,1.1054075334116575,0.9673478322144999,0.9687847752453024,1.0995382647828824,1.124344883073995,1.0177307888692897,0.9618189977485598,0.9194724026724788,0.8436563549706662
betrayal,alpha_0p3,14215,3651.0,9.1275,0.0,7.0,0.45,0.125,0.22,9.087230845709133,8.733459890562068,8.586052489715174,0.42763184697701034,0.1518987341772152,1.0476554258066861,5.0,1.1731564974525672,1.1247790322344817,0.8742199299150649,1.3535368520998476,1.1266519334725245,0.892251321515535,0.7895141071622658,0.9477459895136714,0.9001823948390194,0.8568109492776308
betrayal,alpha_0p3,14216,3900.0,9.75,0.0,,0.675,0.35,0.435,8.214271560837247,8.688352869576029,9.183594835759422,0.42838174260543543,0.34177215189873417,0.8175965031453971,1.0,0.8047716579208425,1.3529743758631494,1.218723655567932,0.9037615690238958,1.4554090841936789,1.4741823795411495,1.3171271451334008,1.1927739158331587,1.1228627966865896,1.0164922122182263
betrayal,alpha_0p3,14217,3753.0,9.3825,0.0,22.0,0.225,0.1,0.485,8.722344264272746,8.793458851576911,8.565551579951226,0.3020810157964019,0.11392405063291139,1.0254480922803904,1.0,1.1474012231615174,1.19859545838044,1.1149711391574695,1.2356848072327606,1.1804896084953933,1.1747509780300596,1.0881123251299725,1.0549461974673002,1.1751335093494775,1.110984251925129
betrayal,alpha_0p3,14218,4194.0,10.485,0.0,4.0,0.125,0.025,0.595,8.590583213631385,8.52591013141423,8.605455122638697,0.332991462987978,0.05063291139240506,0.8971151237452144,14.0,1.0883590336744906,1.3395997321093205,1.3051966340565595,1.2797367871794472,1.3507569816022382,1.3382553584986043,1.323336965051469,1.3062768610732929,1.285537904860079,1.2735278366403668
betrayal,alpha_0p3,14219,3836.0,9.59,0.0,32.0,0.1,0.0,0.305,9.143870005826754,9.252267978314602,9.134130181801801,0.3006694946511469,0.10126582278481013,1.0300035803795202,10.0,1.0960412082714037,1.2141349627353635,1.162768735743143,1.2141620843716665,1.218101079119752,1.2138676979487153,1.194789441939077,1.1598541430187927,1.1399752050165044,1.063810037126781
betrayal,alpha_0p5,14200,3717.0,9.2925,0.0,22.0,0.15,0.075,0.23,9.204128827708253,9.151383750233617,9.19090215089392,0.4392610499066715,0.16455696202531644,0.9308251996450755,6.0,1.172855935822138,1.2830027017957408,1.1640497708023534,1.2637266895952557,1.2830915437149464,1.2431963687218666,1.171846471560754,1.1511089385402495,1.0992292291337868,1.1290092191083951
betrayal,alpha_0p5,14201,3834.0,9.585,0.0,34.0,0.4,0.2,0.41,8.70421881475596,9.039200317765694,9.17630518359455,0.5356121959520364,0.3924050632911392,0.8579680705874885,2.0,1.2100302866661727,1.5720571791694087,1.3353438501663042,1.6260111859267847,1.5918032779285394,1.5037891320053076,1.4075170278625462,1.3847261419085106,1.1921326932831633,1.0761160508453669
betrayal,alpha_0p5,14202,4372.0,10.93,0.0,102.0,0.05,0.0,0.63,8.411070783230938,7.932513982210655,7.758977572307989,0.33030045559996013,0.08860759493670886,1.0410374676186263,27.0,1.112761108466779,1.178941774067447,1.1925546511469525,1.1753934841964635,1.178388546767879,1.2104185307591462,1.2104185307591462,1.1929083013492563,1.154350432153028,1.1773316772217202
betrayal,alpha_0p5,14203,3664.0,9.16,0.0,7.0,0.4,0.1,0.425,8.639900824574868,8.827618901743367,8.478287884309125,0.5784233516699739,0.6455696202531646,0.9413964215823315,3.0,1.2158557840364486,1.233085895326494,0.8951608158694527,1.424231339332423,1.220690705635016,1.0631185423024612,0.9880538280637133,0.7987054343710727,0.9028935683729116,0.7704659851623602
betrayal,alpha_0p5,14204,3750.0,9.375,0.0,14.0,0.05,0.025,0.3725,9.054310923513038,9.038495004971187,8.965279149364637,0.3923276743819315,0.12658227848101267,0.9815905743740795,18.0,1.0737790752492367,1.0654445923432008,0.9399710661861964,1.0820372623191954,1.0576687873849224,1.0275423366362268,0.9959149482810947,0.8520877902811532,1.0051660504571116,0.9519215406868098
betrayal,alpha_0p5,14205,3667.0,9.1675,0.0,4.0,0.375,0.05,0.4125,8.950744272773642,8.626586303669947,8.431773657585264,0.4985669334728986,0.25316455696202533,1.0420827905630337,14.0,1.2466102230223366,0.9288530878542527,0.7373102534985634,1.2700968340407652,0.8735209073902213,0.7122902266412876,0.6651222399009947,0.8521966320562067,0.6972257064060597,0.6274553451393217
betrayal,alpha_0p5,14206,3728.0,9.32,0.0,4.0,0.65,0.175,0.425,9.091977592635295,8.917249263819127,8.363346744768487,0.49976471484553475,0.5569620253164557,1.0157474754607725,0.0,1.224700216884624,1.1903824084271282,0.7631332732910354,1.4053930139378805,1.2509562023270382,0.9484361841465684,0.8266425468824077,0.753833669887809,0.6616278089160563,0.612390986253791
betrayal,alpha_0p5,14207,4403.0,11.0075,0.0,7.0,0.05,0.025,0.69,8.438855495669586,7.7533504654164505,7.5791678607673525,0.19048229139080536,0.012658227848101266,1.0055472832909989,38.0,1.1023287232807688,1.1063829379930177,1.083594899178891,1.1217080685231233,1.0983092844332738,1.0983092844332738,1.0983092844332738,1.0699571762601954,1.0699571762601954,1.0699571762601954
