experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,default_reference,14214,2241.5,11.2075,0.0,68.0,0.69,7.661150175808228,7.106537187569961,7.067658944591369,0.45619604825483573,2.0,3.0,1.5
betrayal,default_reference,14215,1845.5,9.2275,0.0,27.0,0.145,9.114117928232213,7.491647059974973,8.564665437800153,1.1499030008383744,6.0,1.0,0.16666666666666666
betrayal,default_reference,14216,1806.5,9.0325,0.0,6.0,0.2175,9.243129284791818,9.134708675918823,8.074677475866512,1.0646809890659774,3.0,6.0,2.0
betrayal,default_reference,14217,2237.5,11.1875,0.0,,0.6625,7.295419797000072,6.961477406918861,6.178776500359058,0.5362506391586126,1.0,1.0,1.0
betrayal,default_reference,14218,2180.0,10.9,0.0,54.0,0.665,7.877383003227352,7.639009802673498,8.023551949128866,0.5152086941834984,1.0,1.0,1.0
betrayal,default_reference,14219,2201.0,11.005,0.0,115.0,0.635,7.71270775617661,7.002094347168485,7.8719850285802195,0.5721363975553406,2.0,2.0,1.0
betrayal,naive_high_alpha,14200,1913.5,9.5675,0.0,118.0,0.405,8.755601388854801,8.896796149979926,8.823832171563016,1.0392918475355264,2.0,1.0,0.5
betrayal,naive_high_alpha,14201,1825.5,9.1275,0.0,47.0,0.46,8.539655136878462,8.731777613521556,8.719919731909199,1.1334902219085747,2.0,1.0,0.5
betrayal,naive_high_alpha,14202,1968.0,9.84,0.0,4.0,0.32,7.208185937275286,8.520217945351952,9.409232711059097,1.1693279951244846,2.0,1.0,0.5
betrayal,naive_high_alpha,14203,1821.0,9.105,0.0,105.0,0.3075,8.579569332547075,9.044633541961883,9.057784194235266,1.2570736254790593,1.0,1.0,1.0
betrayal,naive_high_alpha,14204,2129.0,10.645,0.0,64.0,0.6,8.491496502255373,7.886834404599198,7.707770063006702,0.9174967066761852,2.0,3.0,1.5
betrayal,naive_high_alpha,14205,1840.5,9.2025,0.0,11.0,0.2375,8.9513284498953,8.85336151107157,7.707747092992773,1.2077066916307886,3.0,1.0,0.3333333333333333
betrayal,naive_high_alpha,14206,1844.0,9.22,0.0,4.0,0.3975,8.71683913464014,8.834051960886814,7.3005716096005395,1.060521607299521,9.0,1.0,0.1111111111111111
betrayal,naive_high_alpha,14207,1834.0,9.17,0.0,25.0,0.3975,8.887826060266912,8.896118264916106,8.479924882486221,1.2176137148972836,1.0,2.0,2.0
betrayal,naive_high_alpha,14208,2256.5,11.2825,0.0,9.0,0.67,7.173948469084728,6.721071280577592,7.721289118629872,0.659505215520326,2.0,1.0,0.5
betrayal,naive_high_alpha,14209,1895.0,9.475,0.0,4.0,0.1025,9.1785469070521,9.272079657083502,8.529754443302751,1.2806022409563975,1.0,1.0,1.0
betrayal,naive_high_alpha,14210,1854.5,9.2725,0.0,4.0,0.185,8.948745827697941,8.373297940328479,8.227675949834106,1.1148105473865155,1.0,1.0,1.0
betrayal,naive_high_alpha,14211,1896.5,9.4825,0.0,4.0,0.21,8.968333224381945,9.136838084138258,7.802056276879674,1.1432747538521062,1.0,1.0,1.0
betrayal,naive_high_alpha,14212,1867.0,9.335,0.0,23.0,0.0925,9.29581003100373,8.954414872633913,9.005309967425719,1.1975026060391063,1.0,1.0,1.0
betrayal,naive_high_alpha,14213,1987.0,9.935,0.0,4.0,0.39,8.049813553925533,8.20502242730485,8.692999212976222,1.205573613335053,1.0,1.0,1.0
betrayal,naive_high_alpha,14214,1859.5,9.2975,0.0,4.0,0.2575,8.901024444475143,8.985190827001237,8.16136632731791,1.1684230206683928,2.0,2.0,1.0
betrayal,naive_high_alpha,14215,1896.0,9.48,0.0,28.0,0.0975,9.000149878500968,8.124783444202643,7.905515424916081,1.222247488339077,4.0,2.0,0.5
betrayal,naive_high_alpha,14216,1974.0,9.87,0.0,12.0,0.49,7.40871720975637,8.4132303684059,9.06792760532343,1.0068601768976113,3.0,6.0,2.0
betrayal,naive_high_alpha,14217,2229.0,11.145,0.0,,0.65,7.162648593071674,7.143967772797306,5.9497420089442885,0.5063373531382381,1.0,3.0,3.0
betrayal,naive_high_alpha,14218,1916.0,9.58,0.0,4.0,0.3975,8.299203555157614,8.361913531888662,9.091596332137781,1.028050938625861,3.0,2.0,0.6666666666666666
betrayal,naive_high_alpha,14219,1832.0,9.16,0.0,30.0,0.085,9.225700209274358,9.370862789196346,9.431959894795934,1.1361677325797224,2.0,1.0,0.5
betrayal,naive_low_alpha,14200,1893.5,9.4675,0.0,9.0,0.39,9.085929991604372,8.896758461476205,9.053777188464782,0.3531733227040493,3.0,1.0,0.3333333333333333
betrayal,naive_low_alpha,14201,1887.0,9.435,0.0,,0.28,8.717451046104797,9.020403826020711,9.079176793021226,0.40779311116442113,2.0,1.0,0.5
betrayal,naive_low_alpha,14202,1846.5,9.2325,0.0,9.0,0.125,9.112869799750852,9.215464337117115,9.200706495562324,0.3870716024042908,1.0,1.0,1.0
betrayal,naive_low_alpha,14203,1876.5,9.3825,0.0,28.0,0.39,8.830918204490231,8.876489120472906,8.860548893733247,0.3321948487701275,1.0,3.0,3.0
betrayal,naive_low_alpha,14204,1877.0,9.385,0.0,4.0,0.32,8.83017621237708,8.816019714268522,8.832410230511686,0.34373705752175204,2.0,2.0,1.0
betrayal,naive_low_alpha,14205,1836.5,9.1825,0.0,4.0,0.1975,8.828008163080517,8.92115611610429,8.882321731060312,0.3752850692847086,7.0,1.0,0.14285714285714285
betrayal,naive_low_alpha,14206,1859.5,9.2975,0.0,4.0,0.285,8.750202781423718,8.920765620805344,8.730846320596408,0.3747709062899237,10.0,1.0,0.1
betrayal,naive_low_alpha,14207,1843.0,9.215,0.0,78.0,0.3225,8.920192739409673,8.980272957299931,8.99111595159938,0.35303155051553126,1.0,1.0,1.0
betrayal,naive_low_alpha,14208,1866.0,9.33,0.0,6.0,0.2575,8.82134772506754,9.079221114929243,9.074802186579698,0.3624731555178351,5.0,1.0,0.2
betrayal,naive_low_alpha,14209,1916.5,9.5825,0.0,72.0,0.115,9.11887196362124,9.175549019119366,9.302398746006176,0.4127849360210909,1.0,2.0,2.0
betrayal,naive_low_alpha,14210,1997.0,9.985,0.0,4.0,0.4975,8.77817491879513,8.507365666293442,8.867975132037918,0.32960406447256435,3.0,3.0,1.0
betrayal,naive_low_alpha,14211,2103.5,10.5175,0.0,,0.445,8.806998793871232,8.72225101692387,8.560828680325507,0.308200573743368,1.0,5.0,5.0
betrayal,naive_low_alpha,14212,2040.0,10.2,0.0,4.0,0.51,8.876887163777946,8.518920981893215,8.657928004766038,0.3268188073998041,1.0,1.0,1.0
betrayal,naive_low_alpha,14213,1864.5,9.3225,0.0,78.0,0.1925,9.012592921698337,9.081496218749102,9.110619035495162,0.3584660238997113,1.0,1.0,1.0
betrayal,naive_low_alpha,14214,1856.0,9.28,0.0,4.0,0.275,8.835627078157556,9.033202721563836,8.910583392901286,0.3897763454619029,1.0,1.0,1.0
betrayal,naive_low_alpha,14215,1828.5,9.1425,0.0,27.0,0.1925,8.864450889928758,9.13576239050681,8.935427981838993,0.37035621594513013,1.0,1.0,1.0
betrayal,naive_low_alpha,14216,1849.5,9.2475,0.0,10.0,0.425,8.652641448900962,8.860574620040412,8.947947509449941,0.38415569935130534,3.0,3.0,1.0
betrayal,naive_low_alpha,14217,1888.5,9.4425,0.0,17.0,0.45,8.596294137583921,8.778265218316932,8.488973447906908,0.3504567538909158,1.0,1.0,1.0
