experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,naive_low_alpha,14208,2289.0,11.445,0.0,17.0,0.025,0.025,0.695,6.26789981305694,5.998655277014681,6.326772712867565,0.1131148944470535,1.0,4.0,4.0
betrayal,naive_low_alpha,14209,2191.0,10.955,0.0,4.0,0.475,0.4,0.36,6.885649367694623,7.078419349635501,7.393543088748143,0.2356110421360264,1.0,1.0,1.0
betrayal,naive_low_alpha,14210,2230.5,11.1525,0.0,112.0,0.0,0.0,0.6,7.339077410178959,6.459738896453969,6.704824300576842,0.1704192971264288,4.0,1.0,0.25
betrayal,naive_low_alpha,14211,2272.5,11.3625,0.0,4.0,0.1,0.05,0.5075,6.610929783560441,6.549187371925533,6.759627577129611,0.1997576646565247,1.0,1.0,1.0
betrayal,naive_low_alpha,14212,2292.0,11.46,0.0,4.0,0.025,0.0,0.6625,6.308424868733856,6.447929259115077,6.391889027043111,0.1179720375028614,1.0,15.0,15.0
betrayal,naive_low_alpha,14213,2259.0,11.295,0.0,6.0,0.075,0.05,0.535,6.1463984643919325,6.704388851322115,6.875405200693178,0.18603990265687098,1.0,18.0,18.0
betrayal,naive_low_alpha,14214,2083.0,10.415,0.0,25.0,0.825,0.7,0.615,6.066801946351396,6.9055192627552735,7.490726738550426,0.22682401485637568,1.0,1.0,1.0
betrayal,naive_low_alpha,14215,2199.5,10.9975,0.0,,0.25,0.125,0.5125,6.497537891636422,6.871572991549068,6.425176937887337,0.20018226948105988,1.0,2.0,2.0
betrayal,naive_low_alpha,14216,2167.0,10.835,0.0,4.0,0.95,0.725,0.6225,6.414039468748678,6.760939013221181,6.84025282917399,0.18111661122323164,1.0,1.0,1.0
betrayal,naive_low_alpha,14217,2347.5,11.7375,0.0,8.0,0.05,0.0,0.7,5.956424291254473,5.9744114371829,5.83251935542554,0.08705595538524152,2.0,1.0,0.5
betrayal,naive_low_alpha,14218,2209.0,11.045,0.0,13.0,0.075,0.075,0.6475,6.137500148509063,6.594660781743951,6.722556447671615,0.1608390259825196,1.0,2.0,2.0
betrayal,naive_low_alpha,14219,2269.0,11.345,0.0,,0.125,0.1,0.2675,6.443258799820894,6.886392744276818,6.9043990554952455,0.19645936304484352,1.0,5.0,5.0
betrayal,no_affect,14200,2314.5,11.5725,0.0,16.0,0.025,0.0,0.65,6.844534563812423,6.65212833547621,6.863338743345029,,1.0,1.0,1.0
