variant_id,round_bin_start,round_bin_end,n_seeds,bootstrap_iterations,bootstrap_seed,bootstrap_method,p0_selection_mean,p0_selection_ci_low,p0_selection_ci_high,mean_q_pi_entropy_mean,mean_q_pi_entropy_ci_low,mean_q_pi_entropy_ci_high,p0_beta_mean,p0_beta_ci_low,p0_beta_ci_high,mean_payoff_mean,mean_payoff_ci_low,mean_payoff_ci_high
lesioned,100,109,30,10000,0,seed_mean_percentile,0.03333333333333333,0.0033333333333333335,0.08333333333333333,6.767593169071348,6.604682849893842,6.9430317964232895,0.9914983285683145,0.8979080101532851,1.0869465971479784,11.168333333333333,10.758333333333331,11.529999999999998
lesioned,110,119,30,10000,0,seed_mean_percentile,0.03333333333333333,0.0033333333333333335,0.07333333333333333,6.852477948244641,6.690104530245216,7.0243908563620945,0.9875913939611167,0.8910512602948858,1.085363165898494,11.103333333333333,10.78495833333333,11.391666666666664
no_affect,0,9,30,10000,0,seed_mean_percentile,0.22000000000000003,0.15666666666666668,0.29,7.96782002938412,7.861104881874329,8.070648983880307,,,,9.8,9.444999999999999,10.15
no_affect,10,19,30,10000,0,seed_mean_percentile,0.13999999999999999,0.07666666666666669,0.21666666666666667,7.417477106387808,7.228783521058428,7.610182223823887,,,,10.406666666666666,9.95,10.840000000000002
no_affect,20,29,30,10000,0,seed_mean_percentile,0.08000000000000002,0.04,0.12666666666666668,7.1619320850455255,6.9756424422984376,7.358084782190107,,,,10.870000000000001,10.468333333333334,11.241666666666667
no_affect,30,39,30,10000,0,seed_mean_percentile,0.04333333333333334,0.020000000000000004,0.07,6.994173377984493,6.791947665441535,7.204230103166167,,,,11.003333333333334,10.595000000000002,11.379999999999999
no_affect,40,49,30,10000,0,seed_mean_percentile,0.023333333333333334,0.0,0.056666666666666664,6.929180458106702,6.742410764888363,7.129676596958629,,,,10.884999999999998,10.468333333333332,11.278333333333332
no_affect,50,59,30,10000,0,seed_mean_percentile,0.04,0.010000000000000002,0.08666666666666667,6.923507232017751,6.7579147748856645,7.093464499093892,,,,10.81166666666667,10.403291666666666,11.183375000000002
no_affect,60,69,30,10000,0,seed_mean_percentile,0.02,0.0,0.05999999999999999,6.795855787890657,6.661029698778261,6.940141643453514,,,,11.29666666666667,10.978333333333332,11.591666666666667
no_affect,70,79,30,10000,0,seed_mean_percentile,0.03666666666666667,0.010000000000000002,0.07666666666666666,6.904177677666218,6.720943105182005,7.097226081400789,,,,10.886666666666667,10.419999999999998,11.298333333333334
no_affect,80,89,30,10000,0,seed_mean_percentile,0.02333333333333333,0.0033333333333333335,0.05333333333333334,6.853166613930432,6.680976308544293,7.035183815720736,,,,11.159999999999998,10.770000000000001,11.526666666666669
no_affect,90,99,30,10000,0,seed_mean_percentile,0.043333333333333335,0.010000000000000002,0.09666666666666665,6.841834623325394,6.673533644752873,7.022136284381904,,,,10.99,10.653333333333334,11.306666666666668
no_affect,100,109,30,10000,0,seed_mean_percentile,0.03333333333333333,0.0033333333333333335,0.08333333333333333,6.767593169071348,6.604682849893842,6.9430317964232895,,,,11.168333333333333,10.758333333333331,11.529999999999998
no_affect,110,119,30,10000,0,seed_mean_percentile,0.03333333333333333,0.0033333333333333335,0.07333333333333333,6.852477948244641,6.690104530245216,7.0243908563620945,,,,11.103333333333333,10.78495833333333,11.391666666666664
