experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,alpha
betrayal,alpha_1p0,14201,1928.5,9.6425,0.0,11.0,0.725,0.325,0.46,6.30686176063812,6.626373344396639,8.169569633688717,0.49355813790839564,1.0
betrayal,alpha_1p0,14202,2314.5,11.5725,0.0,,0.0,0.0,0.725,6.550824800862738,4.174572904448442,4.3459680935089615,0.23828334815895233,1.0
betrayal,alpha_1p0,14203,2291.5,11.4575,0.0,4.0,1.0,0.975,0.7275,4.572266506299883,4.664656321365651,5.591509371541305,0.18230462769014996,1.0
betrayal,alpha_1p0,14204,2354.5,11.7725,0.0,89.0,0.0,0.0,0.7325,5.089338866349476,4.4697618524271725,4.079453988354036,0.13878222050798844,1.0
betrayal,alpha_1p0,14205,1769.5,8.8475,0.0,4.0,0.575,0.375,0.3675,8.027708747741015,7.90039888370992,6.6338335291641055,0.5523575460680527,1.0
betrayal,alpha_1p0,14206,2288.5,11.4425,0.0,,0.325,0.275,0.4775,4.685183777593811,5.272426691262458,5.13069723896429,0.4773907158520745,1.0
betrayal,alpha_1p0,14207,2338.5,11.6925,0.0,,0.0,0.0,0.7125,5.947376575097659,4.207292561017314,4.055406715575549,0.19215232970976542,1.0
betrayal,alpha_1p0,14208,2351.5,11.7575,0.0,67.0,0.0,0.0,0.7125,5.161532740136685,4.2256541875381455,4.3711916125645,0.1660293119449309,1.0
betrayal,alpha_1p0,14209,2343.0,11.715,0.0,,0.0,0.0,0.5775,6.041594426796823,4.709932575642864,4.629108777870598,0.41909216986767506,1.0
betrayal,alpha_1p0,14210,2206.0,11.03,0.0,4.0,0.825,0.75,0.4925,7.720079410416172,5.20552655755818,4.275920369788227,0.41714800202629776,1.0
betrayal,alpha_1p0,14211,2330.0,11.65,0.0,,0.025,0.025,0.66,6.916855403783461,4.077638377021675,4.659315139424503,0.29804372481489494,1.0
betrayal,alpha_1p0,14212,2327.5,11.6375,0.0,4.0,0.025,0.025,0.6175,7.065196058528204,4.253408139184831,4.045812886508114,0.30096492930837115,1.0
betrayal,alpha_1p0,14213,2314.5,11.5725,0.0,,0.05,0.025,0.695,5.239549937221259,4.573328394224988,4.713962227777389,0.2187382596772373,1.0
betrayal,alpha_1p0,14214,2382.0,11.91,0.0,60.0,0.0,0.0,0.7025,5.4576754247650525,4.29045521731222,3.8470614862731325,0.17800511358369575,1.0
betrayal,alpha_1p0,14215,2214.5,11.0725,0.0,,0.05,0.0,0.6925,5.9239373986879915,4.899496261764693,5.477169531445287,0.25886860519626054,1.0
betrayal,alpha_1p0,14216,2158.0,10.79,0.0,4.0,0.975,0.875,0.69,5.416239554625198,5.431228200243855,6.431681555861361,0.3017967212463988,1.0
betrayal,alpha_1p0,14217,2374.5,11.8725,0.0,34.0,0.025,0.025,0.7275,4.89653450841387,4.263601342245248,4.146344741277244,0.13355822725425773,1.0
betrayal,alpha_1p0,14218,2270.0,11.35,0.0,,0.05,0.05,0.6875,5.579025446740626,4.90033289216417,4.921106333672549,0.25113757906553685,1.0
betrayal,alpha_1p0,14219,2342.5,11.7125,0.0,,0.025,0.025,0.71,5.755073580784796,4.3811653446281245,4.848817425778463,0.1898201149007999,1.0
betrayal,alpha_2p0,14200,2420.5,12.1025,0.0,,0.025,0.025,0.7475,4.38485507996107,3.7378202113349737,3.8845094520828245,0.12896144518769248,2.0
betrayal,alpha_2p0,14201,2049.0,10.245,0.0,11.0,0.675,0.25,0.4875,6.113512363928462,6.607199367047292,6.211975757595426,0.7069077514180517,2.0
betrayal,alpha_2p0,14202,2188.5,10.9425,0.0,4.0,0.85,0.775,0.59,5.888679535430839,5.478301662213699,5.545508171468764,0.5435813057383925,2.0
betrayal,alpha_2p0,14203,2296.0,11.48,0.0,4.0,0.975,0.95,0.73,4.255694330770003,4.534894089425564,5.3172742193902875,0.2512595258361031,2.0
betrayal,alpha_2p0,14204,2355.5,11.7775,0.0,89.0,0.0,0.0,0.7325,4.7410755093062145,4.241036856775059,3.869421632414728,0.15211072253060157,2.0
betrayal,alpha_2p0,14205,1777.5,8.8875,0.0,4.0,0.575,0.375,0.3825,8.033626862484644,7.73902917455924,6.321434354049837,0.78989112507193,2.0
betrayal,alpha_2p0,14206,2298.5,11.4925,0.0,,0.3,0.25,0.47,4.428730203521445,4.916155359938863,5.157362389083645,0.656621035052227,2.0
betrayal,alpha_2p0,14207,1902.0,9.51,0.0,4.0,0.725,0.525,0.4325,7.774579657023574,6.776362282207701,8.10268684662597,0.6312203512666703,2.0
betrayal,alpha_2p0,14208,2354.5,11.7725,0.0,67.0,0.0,0.0,0.7175,4.950352514545106,4.04824230308725,4.178521048907806,0.1846727175972103,2.0
betrayal,alpha_2p0,14209,2321.0,11.605,0.0,4.0,0.725,0.725,0.51,5.829124065068148,4.867757881126766,4.8083854602048435,0.5270170274789481,2.0
betrayal,alpha_2p0,14210,2361.0,11.805,0.0,,0.0,0.0,0.71,5.738428504508441,4.026166277720588,3.658261301373743,0.23465624749109765,2.0
betrayal,alpha_2p0,14211,2307.0,11.535,0.0,4.0,0.375,0.25,0.4925,6.083923252874743,4.742492157956466,3.9607833833898387,0.4221998347005975,2.0
betrayal,alpha_2p0,14212,2259.5,11.2975,0.0,,0.0,0.0,0.6225,6.7954626601440715,4.72080484238282,4.172977850645085,0.39578520007776835,2.0
betrayal,alpha_2p0,14213,2305.5,11.5275,0.0,,0.05,0.025,0.6525,4.983227190969222,4.4389954666684055,4.966951273086213,0.44507040751002586,2.0
betrayal,alpha_2p0,14214,2263.5,11.3175,0.0,60.0,0.0,0.0,0.6525,7.892923186857804,4.755922631170503,3.7512686998174263,0.42630588769617306,2.0
betrayal,alpha_2p0,14215,2244.5,11.2225,0.0,4.0,0.25,0.1,0.5475,5.643908831047068,4.998112178237209,4.359603450917365,0.41203253188769984,2.0
betrayal,alpha_2p0,14216,2164.5,10.8225,0.0,4.0,0.95,0.825,0.6825,5.155557346617067,5.238769791478653,6.223726297872488,0.3670792384160654,2.0
betrayal,alpha_2p0,14217,2379.5,11.8975,0.0,34.0,0.025,0.025,0.7275,4.505373717082182,4.095928583711393,3.9391762120627742,0.14335597830084842,2.0
betrayal,alpha_2p0,14218,2277.0,11.385,0.0,107.0,0.025,0.025,0.675,5.427158490245481,4.743245446598057,4.891070895088213,0.37813758088270616,2.0
betrayal,alpha_2p0,14219,2341.5,11.7075,0.0,,0.025,0.025,0.71,5.406782781519824,4.101210599605648,4.586544962584901,0.251601544459145,2.0
betrayal,alpha_4p0,14200,2420.0,12.1,0.0,,0.025,0.025,0.7475,4.224992886064703,3.6449165836808475,3.79679020017939,0.1322667469725424,4.0
betrayal,alpha_4p0,14201,1997.5,9.9875,0.0,7.0,0.7,0.25,0.4475,6.011569989115114,6.595488641629532,7.337595969542989,1.0216476778574906,4.0
betrayal,alpha_4p0,14202,2341.0,11.705,0.0,,0.0,0.0,0.74,5.515724282067088,3.9770199798621513,4.238510709049258,0.2958145243427327,4.0
betrayal,alpha_4p0,14203,2290.5,11.4525,0.0,4.0,0.975,0.95,0.7275,4.070571770646041,4.510899012469381,5.180633365400797,0.342248958618161,4.0
betrayal,alpha_4p0,14204,2353.0,11.765,0.0,89.0,0.0,0.0,0.7325,4.597998294069044,4.184276099314558,3.799976412949506,0.2278470439918686,4.0
betrayal,alpha_4p0,14205,1775.5,8.8775,0.0,4.0,0.45,0.25,0.3975,8.03891798672421,7.759763781981458,6.1072895669191665,1.0351842964267333,4.0
betrayal,alpha_4p0,14206,2295.5,11.4775,0.0,,0.25,0.2,0.465,4.101704854226231,4.882684347923969,5.228145103852401,0.7696720820574634,4.0
betrayal,alpha_4p0,14207,2020.0,10.1,0.0,4.0,0.8,0.6,0.5975,6.967118325173442,5.617254686321544,7.102890017929688,0.7656269068978713,4.0
betrayal,alpha_4p0,14208,2357.5,11.7875,0.0,67.0,0.0,0.0,0.7175,4.731540829768582,3.9987843459505763,4.125033171825821,0.22590280328550652,4.0
betrayal,alpha_4p0,14209,2339.0,11.695,0.0,4.0,0.125,0.1,0.575,5.355574834471695,4.25121925086705,4.2180667496827216,0.626192183924954,4.0
betrayal,alpha_4p0,14210,2362.5,11.8125,0.0,,0.0,0.0,0.72,5.545612925657472,4.02670720137601,3.5203110573905207,0.24958354209451175,4.0
betrayal,alpha_4p0,14211,2316.5,11.5825,0.0,,0.0,0.0,0.635,6.166382137656885,3.8365652281269047,4.486327613481599,0.44347510885113034,4.0
betrayal,alpha_4p0,14212,2350.0,11.75,0.0,4.0,0.025,0.0,0.7,5.386298786081252,3.9486753337980547,4.087996333177384,0.35254621390757646,4.0
betrayal,alpha_4p0,14213,2297.5,11.4875,0.0,32.0,0.025,0.0,0.645,4.663147376461899,4.526181872479119,4.417611395881874,0.5012733191008498,4.0
betrayal,alpha_4p0,14214,2265.0,11.325,0.0,,0.0,0.0,0.645,7.807292093934209,4.608594534880254,3.637253679262895,0.6583763224346497,4.0
betrayal,alpha_4p0,14215,2106.5,10.5325,0.0,4.0,0.9,0.8,0.65,5.196678872129461,5.547225392622,6.726439498527842,0.6379293719978719,4.0
betrayal,alpha_4p0,14216,2128.5,10.6425,0.0,4.0,0.925,0.775,0.65,5.986421059183766,5.3726125639667375,6.507248645541125,0.5967954203430259,4.0
betrayal,alpha_4p0,14217,2380.0,11.9,0.0,34.0,0.025,0.025,0.7275,4.2736962706430255,4.011029431623174,3.8788436840906786,0.21447711725582563,4.0
betrayal,alpha_4p0,14218,2243.5,11.2175,0.0,,0.05,0.0,0.6725,5.317495389296556,4.693958352041986,4.766414628380289,0.47041568667289624,4.0
betrayal,alpha_4p0,14219,2338.5,11.6925,0.0,,0.0,0.0,0.7175,5.111249214593673,4.09230945451777,4.640162348378514,0.3249729947958337,4.0
betrayal,alpha_8p0,14200,2421.0,12.105,0.0,,0.025,0.025,0.7475,4.135611683392472,3.584605235683903,3.7639004926748596,0.14865138181390564,8.0
betrayal,alpha_8p0,14201,2065.5,10.3275,0.0,6.0,0.525,0.25,0.4275,5.2511475827975085,6.489338034651065,6.470819694037499,1.1804274327168305,8.0
betrayal,alpha_8p0,14202,2230.5,11.1525,0.0,4.0,0.9,0.8,0.56,5.304087441709254,5.23671054514639,4.898141284726141,0.9447070157715189,8.0
betrayal,alpha_8p0,14203,2293.5,11.4675,0.0,4.0,0.975,0.925,0.7275,3.967805200828769,4.479414187167254,5.018720620726009,0.44128963683175493,8.0
betrayal,alpha_8p0,14204,2355.0,11.775,0.0,89.0,0.0,0.0,0.7325,4.5534342717562275,4.143810980359827,3.765816226660254,0.3400619145057327,8.0
betrayal,alpha_8p0,14205,1769.0,8.845,0.0,4.0,0.35,0.15,0.36,8.032143062124591,7.590207738436365,6.77595678947527,1.2145553194234973,8.0
betrayal,alpha_8p0,14206,2302.5,11.5125,0.0,,0.275,0.2,0.465,3.9287390121269237,4.918494599625085,4.970787095417842,1.008119351385137,8.0
betrayal,alpha_8p0,14207,2327.5,11.6375,0.0,,0.0,0.0,0.6375,5.699927845729836,4.1060798799377975,4.082224484365778,0.565129437151566,8.0
betrayal,alpha_8p0,14208,2355.5,11.7775,0.0,67.0,0.0,0.0,0.7175,4.636802401215603,3.9868695365295177,4.084019237832847,0.3275487509950509,8.0
betrayal,alpha_8p0,14209,2285.5,11.4275,0.0,4.0,0.325,0.175,0.465,4.692816657656813,4.94182238683544,4.287344446655968,0.8960067425025543,8.0
betrayal,alpha_8p0,14210,2327.0,11.635,0.0,4.0,0.075,0.05,0.6375,5.41061750521536,3.9865132281219915,4.1203456922976045,0.6529153030916379,8.0
betrayal,alpha_8p0,14211,2285.0,11.425,0.0,4.0,0.425,0.4,0.475,5.904955818765064,4.64200946022338,3.9367088576509186,0.6922654760605382,8.0
betrayal,alpha_8p0,14212,2362.5,11.8125,0.0,4.0,0.025,0.0,0.7075,5.189633542632301,3.881723545228113,4.180033015268936,0.529523811543483,8.0
betrayal,alpha_8p0,14213,2318.0,11.59,0.0,32.0,0.025,0.025,0.69,4.4458564661759485,4.377109769665239,4.446261233469598,0.5919462447164827,8.0
betrayal,alpha_8p0,14214,2354.0,11.77,0.0,,0.0,0.0,0.71,5.944810967655265,4.133823673145403,3.4690432355447007,0.6073740148492027,8.0
betrayal,alpha_8p0,14215,2128.0,10.64,0.0,4.0,0.9,0.75,0.675,4.987401491729109,5.350276660025469,6.266115579386268,0.7145742778715279,8.0
betrayal,alpha_8p0,14216,2132.5,10.6625,0.0,4.0,0.95,0.75,0.685,5.704421473433538,5.156141801978882,5.877176869659876,0.7451174693424663,8.0
betrayal,alpha_8p0,14217,2367.5,11.8375,0.0,4.0,0.1,0.075,0.7,4.174404978717912,4.162054115086718,3.649618632301365,0.5470526744527133,8.0
betrayal,alpha_8p0,14218,2245.5,11.2275,0.0,101.0,0.025,0.025,0.67,5.151194924296789,4.632504689523708,4.796337980764031,0.7462097796365057,8.0
betrayal,alpha_8p0,14219,2332.0,11.66,0.0,,0.05,0.025,0.5975,5.153764535190802,4.260930276856187,3.99011131493168,0.6007143864276654,8.0
open_graded,alpha_0p05,4200,2310.5,11.5525,0.0,6.0,,,0.52,7.336026854822734,7.003702379133692,6.98267473972814,0.06996413911398741,0.05
open_graded,alpha_0p05,4201,2210.5,11.0525,0.1,4.0,,,0.615,7.807645513893887,6.713728399184795,6.666629889942742,0.11856653829060618,0.05
open_graded,alpha_0p05,4202,2248.5,11.2425,0.0,4.0,,,0.7,7.143117951434021,6.574310861062445,6.411720603209456,0.06569279263926386,0.05
